etuus;vuosi;kuukausi;paiva;variable;val
Työttömyysturva;2019;1;2019-01-01;aiemmin tukea saaneet;209099
Työttömyysturva;2019;1;2019-01-01;uudet saajat;8091
Työttömyysturva;2019;2;2019-02-01;aiemmin tukea saaneet;202885
Työttömyysturva;2019;2;2019-02-01;uudet saajat;7999
Työttömyysturva;2019;3;2019-03-01;aiemmin tukea saaneet;207191
Työttömyysturva;2019;3;2019-03-01;uudet saajat;7025
Työttömyysturva;2019;4;2019-04-01;aiemmin tukea saaneet;205918
Työttömyysturva;2019;4;2019-04-01;uudet saajat;7236
Työttömyysturva;2019;5;2019-05-01;aiemmin tukea saaneet;207738
Työttömyysturva;2019;5;2019-05-01;uudet saajat;7428
Työttömyysturva;2019;6;2019-06-01;aiemmin tukea saaneet;198047
Työttömyysturva;2019;6;2019-06-01;uudet saajat;6387
Työttömyysturva;2019;7;2019-07-01;aiemmin tukea saaneet;200218
Työttömyysturva;2019;7;2019-07-01;uudet saajat;10087
Työttömyysturva;2019;8;2019-08-01;aiemmin tukea saaneet;202811
Työttömyysturva;2019;8;2019-08-01;uudet saajat;7861
Työttömyysturva;2019;9;2019-09-01;aiemmin tukea saaneet;197094
Työttömyysturva;2019;9;2019-09-01;uudet saajat;7302
Työttömyysturva;2019;10;2019-10-01;aiemmin tukea saaneet;198116
Työttömyysturva;2019;10;2019-10-01;uudet saajat;7349
Työttömyysturva;2019;11;2019-11-01;aiemmin tukea saaneet;193128
Työttömyysturva;2019;11;2019-11-01;uudet saajat;6815
Työttömyysturva;2019;12;2019-12-01;aiemmin tukea saaneet;195091
Työttömyysturva;2019;12;2019-12-01;uudet saajat;6888
Työttömyysturva;2020;1;2020-01-01;aiemmin tukea saaneet;201066
Työttömyysturva;2020;1;2020-01-01;uudet saajat;8114
Yrittäjien työmarkkinatuki;2020;1;2020-01-01;"yrittäjien
työmarkkinatuen
saajat";0
Työttömyysturva;2020;2;2020-02-01;aiemmin tukea saaneet;196596
Työttömyysturva;2020;2;2020-02-01;uudet saajat;8247
Yrittäjien työmarkkinatuki;2020;2;2020-02-01;"yrittäjien
työmarkkinatuen
saajat";0
Työttömyysturva;2020;3;2020-03-01;aiemmin tukea saaneet;203490
Työttömyysturva;2020;3;2020-03-01;uudet saajat;8440
Yrittäjien työmarkkinatuki;2020;3;2020-03-01;"yrittäjien
työmarkkinatuen
saajat";0
Työttömyysturva;2020;4;2020-04-01;aiemmin tukea saaneet;206037
Työttömyysturva;2020;4;2020-04-01;uudet saajat;17417
Yrittäjien työmarkkinatuki;2020;4;2020-04-01;"yrittäjien
työmarkkinatuen
saajat";8443
Työttömyysturva;2020;5;2020-05-01;aiemmin tukea saaneet;217118
Työttömyysturva;2020;5;2020-05-01;uudet saajat;26375
Yrittäjien työmarkkinatuki;2020;5;2020-05-01;"yrittäjien
työmarkkinatuen
saajat";31517
Työttömyysturva;2020;6;2020-06-01;aiemmin tukea saaneet;233998
Työttömyysturva;2020;6;2020-06-01;uudet saajat;21437
Yrittäjien työmarkkinatuki;2020;6;2020-06-01;"yrittäjien
työmarkkinatuen
saajat";31554
Työttömyysturva;2020;7;2020-07-01;aiemmin tukea saaneet;236529
Työttömyysturva;2020;7;2020-07-01;uudet saajat;13052
Yrittäjien työmarkkinatuki;2020;7;2020-07-01;"yrittäjien
työmarkkinatuen
saajat";30281
Työttömyysturva;2020;8;2020-08-01;aiemmin tukea saaneet;227103
Työttömyysturva;2020;8;2020-08-01;uudet saajat;6900
Yrittäjien työmarkkinatuki;2020;8;2020-08-01;"yrittäjien
työmarkkinatuen
saajat";22250
Työttömyysturva;2020;9;2020-09-01;aiemmin tukea saaneet;219605
Työttömyysturva;2020;9;2020-09-01;uudet saajat;7056
Yrittäjien työmarkkinatuki;2020;9;2020-09-01;"yrittäjien
työmarkkinatuen
saajat";21623
Työttömyysturva;2020;10;2020-10-01;aiemmin tukea saaneet;213411
Työttömyysturva;2020;10;2020-10-01;uudet saajat;6203
Yrittäjien työmarkkinatuki;2020;10;2020-10-01;"yrittäjien
työmarkkinatuen
saajat";21172
Työttömyysturva;2020;11;2020-11-01;aiemmin tukea saaneet;209509
Työttömyysturva;2020;11;2020-11-01;uudet saajat;5661
Yrittäjien työmarkkinatuki;2020;11;2020-11-01;"yrittäjien
työmarkkinatuen
saajat";20904
Työttömyysturva;2020;12;2020-12-01;aiemmin tukea saaneet;213834
Työttömyysturva;2020;12;2020-12-01;uudet saajat;5448
Yrittäjien työmarkkinatuki;2020;12;2020-12-01;"yrittäjien
työmarkkinatuen
saajat";22022
Työttömyysturva;2021;1;2021-01-01;aiemmin tukea saaneet;211990
Työttömyysturva;2021;1;2021-01-01;uudet saajat;6545
Yrittäjien työmarkkinatuki;2021;1;2021-01-01;"yrittäjien
työmarkkinatuen
saajat";22375
Työttömyysturva;2021;2;2021-02-01;aiemmin tukea saaneet;209554
Työttömyysturva;2021;2;2021-02-01;uudet saajat;7394
Yrittäjien työmarkkinatuki;2021;2;2021-02-01;"yrittäjien
työmarkkinatuen
saajat";21341
Työttömyysturva;2021;3;2021-03-01;aiemmin tukea saaneet;218183
Työttömyysturva;2021;3;2021-03-01;uudet saajat;7510
Yrittäjien työmarkkinatuki;2021;3;2021-03-01;"yrittäjien
työmarkkinatuen
saajat";23733
Työttömyysturva;2021;4;2021-04-01;aiemmin tukea saaneet;215143
Työttömyysturva;2021;4;2021-04-01;uudet saajat;5549
Yrittäjien työmarkkinatuki;2021;4;2021-04-01;"yrittäjien
työmarkkinatuen
saajat";24273
